,除權除息日期,股票代號,名稱,除權息,無償配股率,現金增資配股率,現金增資認購價,現金股利,詳細資料,參考價試算,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
186,112年06月21日,8210,勤誠,息,0.00000000,0.00000000,0.00000000,4.00082900,"8210,20230621",",4.00082900,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),41.07,0.23
187,112年06月27日,8213,志超,息,0.00000000,0.00000000,0.00000000,2.50000000,"8213,20230627",",2.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),54.91,0.62
188,112年07月04日,8261,富鼎,息,0.00000000,0.00000000,0.00000000,4.97667300,"8261,20230704",",4.97667300,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),47.35,0.49
189,112年06月29日,8271,宇瞻,息,0.00000000,0.00000000,0.00000000,3.30000000,"8271,20230629",",3.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),31.65,1.05
190,112年06月14日,8341,日友,權息,0.00000000,0.16591928,120.00000000,7.50000000,"8341,20230614",",7.50000000,0.00000000,0.16591928,120.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),30.09,1.20
191,112年06月26日,8438,昶昕,息,0.00000000,0.00000000,0.00000000,1.00000000,"8438,20230626",",1.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),24.59,0.21
192,112年07月03日,910861,神州-DR,息,0.00000000,0.00000000,0.00000000,0.08743500,"910861,20230703",",0.08743500,0.00000000,0.00000000,0.00000000",111年第4季(https://mops.twse.com.tw/mops/web/t132sb05?TYPEK=sii&step=3&mark_kind=sii),8.52,0.00
193,112年06月21日,9911,櫻花,息,0.00000000,0.00000000,0.00000000,3.70000000,"9911,20230621",",3.70000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),26.96,1.00
194,112年06月20日,9917,中保科,息,0.00000000,0.00000000,0.00000000,5.00000000,"9917,20230620",",5.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),28.79,1.37
195,112年06月13日,9924,福興,息,0.00000000,0.00000000,0.00000000,2.90000000,"9924,20230613",",2.90000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),32.99,0.51
196,112年06月20日,9931,欣高,息,0.00000000,0.00000000,0.00000000,0.30000000,"9931,20230620",",0.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),21.83,0.35
197,112年07月04日,9939,宏全,息,0.00000000,0.00000000,0.00000000,4.80000000,"9939,20230704",",4.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),49.26,1.61
198,112年06月20日,9944,新麗,息,0.00000000,0.00000000,0.00000000,1.05000000,"9944,20230620",",1.05000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),34.08,2.92
